frame,timestamp,person_id,x1,y1,x2,y2
0,0.0,0,276,76,357,229
0,0.0,1,113,24,255,265
2,0.142857,2,281,43,367,196
2,0.142857,3,123,40,260,241
3,0.21428550000000002,2,284,18,369,176
3,0.21428550000000002,3,124,21,261,224
4,0.285714,2,289,0,376,150
4,0.285714,3,129,1,261,198
5,0.35714250000000003,2,288,0,371,144
5,0.35714250000000003,3,128,1,264,194
6,0.42857100000000004,2,281,0,358,138
6,0.42857100000000004,3,114,0,242,199
7,0.4999995,2,276,0,348,137
7,0.4999995,3,111,0,222,194
8,0.571428,2,271,0,344,133
8,0.571428,3,117,2,218,189
9,0.6428565,2,273,0,348,156
9,0.6428565,3,132,1,224,214
10,0.7142850000000001,2,284,12,355,175
10,0.7142850000000001,3,145,17,232,231
11,0.7857135000000001,2,287,28,358,192
11,0.7857135000000001,3,157,34,237,247
12,0.8571420000000001,2,291,39,360,204
12,0.8571420000000001,3,161,47,237,255
13,0.9285705000000001,2,302,59,372,222
13,0.9285705000000001,3,180,67,247,274
14,0.999999,2,312,78,386,240
14,0.999999,3,204,89,263,291
15,1.0714275,2,319,97,393,259
15,1.0714275,3,209,106,270,307
16,1.142856,2,326,113,400,277
16,1.142856,3,211,121,273,315
17,1.2142845,2,341,134,413,290
17,1.2142845,3,222,139,298,327
18,1.285713,2,347,137,419,290
18,1.285713,3,228,143,306,314
19,1.3571415,2,350,141,420,292
19,1.3571415,3,232,143,316,333
20,1.4285700000000001,2,353,146,424,301
20,1.4285700000000001,3,240,150,327,342
21,1.4999985,2,355,150,426,301
21,1.4999985,3,245,157,329,346
22,1.5714270000000001,2,358,152,431,302
22,1.5714270000000001,3,248,157,333,346
23,1.6428555,2,359,155,433,301
23,1.6428555,3,254,154,338,339
24,1.7142840000000001,2,363,157,435,299
24,1.7142840000000001,3,255,161,347,342
25,1.7857125,2,367,158,429,299
25,1.7857125,3,252,175,350,334
26,1.8571410000000002,2,364,144,416,281
26,1.8571410000000002,3,246,184,341,328
27,1.9285695,2,358,142,410,278
27,1.9285695,3,240,182,336,326
28,1.999998,2,342,131,406,276
28,1.999998,3,239,181,333,326
29,2.0714265,2,350,136,406,272
29,2.0714265,3,233,180,331,326
30,2.142855,2,338,117,392,246
30,2.142855,3,227,159,324,310
31,2.2142835,2,334,101,396,231
31,2.2142835,3,221,141,320,293
31,2.2142835,4,0,151,64,301
32,2.285712,2,333,82,383,212
32,2.285712,3,213,122,317,280
32,2.285712,4,0,137,59,294
33,2.3571405,2,326,49,371,179
33,2.3571405,3,200,80,306,249
34,2.428569,2,315,38,375,173
34,2.428569,3,197,69,300,241
35,2.4999975,2,309,36,361,167
35,2.4999975,3,189,61,297,236
36,2.571426,2,300,54,364,175
36,2.571426,3,183,66,288,253
37,2.6428545,2,301,67,374,187
37,2.6428545,3,186,77,296,264
38,2.714283,2,316,93,387,214
38,2.714283,3,181,108,300,295
39,2.7857115,2,323,107,391,225
39,2.7857115,3,184,122,305,307
39,2.7857115,5,0,156,42,259
40,2.8571400000000002,2,341,143,414,258
40,2.8571400000000002,3,197,155,323,304
40,2.8571400000000002,5,0,171,79,322
41,2.9285685,2,343,209,410,316
41,2.9285685,3,197,218,322,354
42,2.999997,2,337,236,402,339
42,2.999997,3,190,240,316,357
43,3.0714255,2,332,253,398,355
43,3.0714255,3,182,255,309,358
44,3.1428540000000003,2,316,284,378,360
45,3.2142825,2,309,289,370,360
46,3.285711,2,303,295,363,360
47,3.3571395,2,297,300,353,360
48,3.4285680000000003,2,294,304,350,360
48,3.4285680000000003,6,0,267,41,358
49,3.4999965,2,290,261,350,359
49,3.4999965,7,148,279,257,360
50,3.571425,2,295,242,353,359
50,3.571425,7,158,259,263,359
51,3.6428535,2,297,224,357,349
51,3.6428535,7,164,240,269,359
52,3.7142820000000003,2,309,183,364,312
52,3.7142820000000003,7,180,198,276,357
53,3.7857105,2,317,150,370,290
53,3.7857105,7,191,171,282,359
54,3.857139,2,320,138,378,279
54,3.857139,7,197,158,287,353
55,3.9285675,2,330,116,385,257
55,3.9285675,7,210,132,296,333
56,3.999996,2,333,124,388,244
56,3.999996,7,214,123,301,324
57,4.0714245,2,356,95,411,228
57,4.0714245,7,223,102,315,310
58,4.142853,2,362,82,420,220
58,4.142853,7,228,90,322,303
59,4.2142815,2,363,77,419,215
